,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Concepte,Rang_soroll,Valor,Lloguer_mitja_mensual,Lloguer_mitja_m2
0,1,Ciutat Vella,1,el Raval,TOTAL_D,<40 dB,7.73,747.72,13.9
1,1,Ciutat Vella,1,el Raval,TOTAL_D,40-45 dB,26.98,747.72,13.9
2,1,Ciutat Vella,1,el Raval,TOTAL_D,45-50 dB,7.38,747.72,13.9
3,1,Ciutat Vella,1,el Raval,TOTAL_D,50-55 dB,11.97,747.72,13.9
4,1,Ciutat Vella,1,el Raval,TOTAL_D,55-60 dB,19.85,747.72,13.9
5,1,Ciutat Vella,1,el Raval,TOTAL_D,60-65 dB,16.87,747.72,13.9
6,1,Ciutat Vella,1,el Raval,TOTAL_D,65-70 dB,7.06,747.72,13.9
7,1,Ciutat Vella,1,el Raval,TOTAL_D,70-75 dB,2.16,747.72,13.9
8,1,Ciutat Vella,1,el Raval,TOTAL_D,75-80 dB,0.0,747.72,13.9
9,1,Ciutat Vella,1,el Raval,TOTAL_D,>=80 dB,0.0,747.72,13.9
10,1,Ciutat Vella,2,el Barri Gòtic,TOTAL_D,<40 dB,4.27,973.77,14.19
11,1,Ciutat Vella,2,el Barri Gòtic,TOTAL_D,40-45 dB,16.87,973.77,14.19
12,1,Ciutat Vella,2,el Barri Gòtic,TOTAL_D,45-50 dB,16.59,973.77,14.19
13,1,Ciutat Vella,2,el Barri Gòtic,TOTAL_D,50-55 dB,12.7,973.77,14.19
14,1,Ciutat Vella,2,el Barri Gòtic,TOTAL_D,55-60 dB,25.01,973.77,14.19
15,1,Ciutat Vella,2,el Barri Gòtic,TOTAL_D,60-65 dB,19.33,973.77,14.19
16,1,Ciutat Vella,2,el Barri Gòtic,TOTAL_D,65-70 dB,2.3,973.77,14.19
17,1,Ciutat Vella,2,el Barri Gòtic,TOTAL_D,70-75 dB,2.9,973.77,14.19
18,1,Ciutat Vella,2,el Barri Gòtic,TOTAL_D,75-80 dB,0.03,973.77,14.19
19,1,Ciutat Vella,2,el Barri Gòtic,TOTAL_D,>=80 dB,0.0,973.77,14.19
20,1,Ciutat Vella,3,la Barceloneta,TOTAL_D,<40 dB,1.23,746.31,19.84
21,1,Ciutat Vella,3,la Barceloneta,TOTAL_D,40-45 dB,9.87,746.31,19.84
22,1,Ciutat Vella,3,la Barceloneta,TOTAL_D,45-50 dB,17.32,746.31,19.84
23,1,Ciutat Vella,3,la Barceloneta,TOTAL_D,50-55 dB,32.48,746.31,19.84
24,1,Ciutat Vella,3,la Barceloneta,TOTAL_D,55-60 dB,22.22,746.31,19.84
25,1,Ciutat Vella,3,la Barceloneta,TOTAL_D,60-65 dB,13.05,746.31,19.84
26,1,Ciutat Vella,3,la Barceloneta,TOTAL_D,65-70 dB,2.65,746.31,19.84
27,1,Ciutat Vella,3,la Barceloneta,TOTAL_D,70-75 dB,0.82,746.31,19.84
28,1,Ciutat Vella,3,la Barceloneta,TOTAL_D,75-80 dB,0.36,746.31,19.84
29,1,Ciutat Vella,3,la Barceloneta,TOTAL_D,>=80 dB,0.0,746.31,19.84
30,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",TOTAL_D,<40 dB,4.98,916.84,15.7
31,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",TOTAL_D,40-45 dB,22.45,916.84,15.7
32,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",TOTAL_D,45-50 dB,17.83,916.84,15.7
33,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",TOTAL_D,50-55 dB,12.61,916.84,15.7
34,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",TOTAL_D,55-60 dB,16.53,916.84,15.7
35,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",TOTAL_D,60-65 dB,17.39,916.84,15.7
36,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",TOTAL_D,65-70 dB,5.49,916.84,15.7
